ID,createdAt,createdBy,modifiedAt,modifiedBy,orderNumber,orderDate,requiredDate,shippedDate,freight,employeeName,shipName,shipAddress,shipCity,shipCountry,status,subtotal,tax,totalAmount,isDeleted,customer_ID
49a42561-ea54-447a-9e8d-f3d4094e1b94,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10248,2026-05-23T09:49:18.099Z,2026-06-07T09:49:18.099Z,,10,Nancy Davolio,Global Trading LLC,10 Main St,San Francisco,USA,NEW,4.5,0.45,14.95,false,b0a3862b-2eb7-4779-8a02-5675f50757b8
fb9d3b34-e134-49c0-905c-a481e0cbf122,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10249,2026-05-22T12:16:09.958Z,2026-06-07T12:16:09.958Z,2026-05-25T12:16:09.958Z,11.25,Andrew Fuller,Apex Logistics Inc.,11 Broadway,Stuttgart,Germany,NEW,13.7,1.37,26.32,false,a92b8d83-04f0-46b1-a5a9-bdb02ad775ed
65ba7624-c8ec-48e6-8402-ded420eb928c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10250,2026-05-21T10:05:09.732Z,2026-06-07T10:05:09.732Z,2026-05-25T10:05:09.732Z,12.5,Janet Leverling,Matrix Industries Corp,12 Oak Ave,Liverpool,UK,NEW,26.1,2.61,41.21,false,eab429bf-aaca-47bd-bf13-6c59acf09bab
c43a83cf-1f2d-4683-928a-114afcb69a41,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10251,2026-05-20T12:53:38.818Z,2026-06-07T12:53:38.818Z,2026-05-25T12:53:38.818Z,13.75,Margaret Peacock,Summit Solutions Ltd,13 Pine St,Hanoi,Vietnam,NEW,42.2,4.22,60.17,false,e181e447-15fb-420e-9c8a-65f1e6470ad4
b4a15746-e006-421b-85ae-2234315b26a1,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10252,2026-05-19T10:02:03.442Z,2026-06-07T10:02:03.442Z,2026-05-25T10:02:03.442Z,15,Steven Buchanan,Vortex Foods GmbH,14 Maple Dr,Singapore,Singapore,NEW,62,6.2,83.2,false,c11ad245-d1f1-4d9c-8b8e-2f7cf869b37b
15fabef6-ae44-4c07-85b3-19a9d82e7d36,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10253,2026-05-18T04:25:48.735Z,2026-06-07T04:25:48.735Z,2026-05-20T04:25:48.735Z,16.25,Michael Suyama,Zenith Group Co.,15 Cedar Rd,New York,USA,NEW,85.5,8.55,110.3,false,718ac748-5ec3-41f6-968b-ba932ecfa636
2be9cbc9-6873-4b8f-8709-d0ea60929f7e,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10254,2026-05-17T09:37:32.360Z,2026-06-07T09:37:32.360Z,2026-05-20T09:37:32.360Z,17.5,Robert King,Nova Enterprises S.A.,16 Elm St,Hamburg,Germany,NEW,112.7,11.27,141.47,false,cc47ce46-94f2-4ea0-bc7f-4a534bbf4a5b
b3c801d7-69c5-4de2-ac75-47f6d161ffdd,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10255,2026-05-16T12:11:34.535Z,2026-06-07T12:11:34.535Z,2026-05-20T12:11:34.535Z,18.75,Laura Callahan,Infinity Partners Partnership,17 View Rd,London,UK,NEW,143.6,14.36,176.71,false,a83512bc-5944-4321-8920-6b00684d99d5
88fd8f8a-53e2-4d5e-bf6a-4a378b9644e8,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10256,2026-05-15T04:53:56.797Z,2026-06-07T04:53:56.797Z,2026-05-20T04:53:56.797Z,20,Anne Dodsworth,Quantum Ventures LLC,18 Sunset Blvd,Da Nang,Vietnam,NEW,178.2,17.82,216.02,false,8489ef05-2375-4d66-84ed-68b575de071b
d0dcdf3c-2854-4046-880b-57c47b847718,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10257,2026-05-14T07:39:25.151Z,2026-06-07T07:39:25.151Z,2026-05-20T07:39:25.151Z,21.25,Nancy Davolio,Omni Holdings Inc.,19 Lake St,Singapore,Singapore,NEW,216.5,21.65,259.4,false,41b1137d-1a50-412f-ab6e-d196413e1c4e
